epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1066,1.31011,2.40767,1.35335,0.45648,0.52969,0.45579,0.262,1.38969,2.15058,1.31293,0.0670213,0.000333119,0.000333119
2,85.3003,1.24691,1.99579,1.3452,0.65324,0.63622,0.68137,0.35989,1.63615,1.53103,1.40558,0.0339883,0.000633463,0.000633463
3,122.211,1.20834,1.83371,1.33975,0.70764,0.66176,0.73968,0.45018,1.36784,1.34728,1.27506,0.000922284,0.000900806,0.000900806
4,159.622,1.16166,1.71749,1.3097,0.80486,0.7193,0.80369,0.49874,1.35001,1.10355,1.22761,0.0008515,0.0008515,0.0008515
5,196.57,1.12001,1.60181,1.28845,0.8351,0.71933,0.84031,0.51907,1.36231,1.07395,1.23876,0.000802,0.000802,0.000802
6,233.718,1.08632,1.51832,1.26811,0.83465,0.7301,0.83807,0.55662,1.22366,0.99318,1.17539,0.0007525,0.0007525,0.0007525
7,270.694,1.0572,1.44176,1.25401,0.80847,0.76607,0.83966,0.58134,1.13932,0.972,1.13425,0.000703,0.000703,0.000703
8,307.728,1.0361,1.39155,1.24174,0.83342,0.78196,0.85128,0.60744,1.05249,0.91365,1.08398,0.0006535,0.0006535,0.0006535
9,344.697,1.0214,1.33564,1.22871,0.87677,0.77163,0.87722,0.62742,1.02844,0.86113,1.08903,0.000604,0.000604,0.000604
10,381.776,1.0018,1.29287,1.21751,0.87294,0.80461,0.89029,0.62501,1.08365,0.82551,1.10992,0.0005545,0.0005545,0.0005545
11,419.232,0.85129,0.90294,1.12485,0.86784,0.79319,0.88368,0.6479,0.96329,0.79472,1.06428,0.000505,0.000505,0.000505
12,456.369,0.80882,0.83117,1.10306,0.87644,0.82006,0.89388,0.6597,0.95935,0.7648,1.04861,0.0004555,0.0004555,0.0004555
13,493.519,0.78639,0.78033,1.08501,0.89125,0.81748,0.90675,0.68884,0.89524,0.72028,1.03176,0.000406,0.000406,0.000406
14,530.811,0.76388,0.74077,1.06993,0.89517,0.84517,0.9178,0.71117,0.8387,0.66664,1.00438,0.0003565,0.0003565,0.0003565
15,568.076,0.75086,0.6938,1.05941,0.8869,0.84838,0.9159,0.71129,0.83889,0.65465,1.00004,0.000307,0.000307,0.000307
16,605.428,0.72542,0.65708,1.04662,0.8977,0.84887,0.92073,0.70554,0.86944,0.65089,0.99596,0.0002575,0.0002575,0.0002575
17,642.65,0.70491,0.60596,1.03277,0.88681,0.85308,0.91853,0.70601,0.85886,0.6462,0.99294,0.000208,0.000208,0.000208
18,679.888,0.68903,0.58149,1.02338,0.8942,0.86175,0.92071,0.72335,0.81063,0.60996,0.97885,0.0001585,0.0001585,0.0001585
19,717.202,0.66792,0.54884,1.01405,0.9109,0.85144,0.9265,0.73317,0.79414,0.59499,0.97052,0.000109,0.000109,0.000109
20,754.642,0.65068,0.52137,1.0036,0.91134,0.85601,0.92808,0.73669,0.77784,0.58441,0.95958,5.95e-05,5.95e-05,5.95e-05
