epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9319,1.16899,2.81522,1.24635,0.59075,0.29786,0.29693,0.14315,1.79244,3.13776,1.43476,0.0676111,0.00032716,0.00032716
2,74.6629,1.06568,1.78233,1.18885,0.60209,0.59162,0.63174,0.34678,1.52876,1.85577,1.24959,0.0346078,0.000657224,0.000657224
3,103.965,1.05777,1.55667,1.18426,0.67566,0.6084,0.66438,0.34881,1.70136,1.71489,1.34723,0.00160127,0.000983988,0.000983988
4,133.159,1.04362,1.46253,1.18011,0.64192,0.58208,0.61741,0.40823,1.23015,1.62992,1.16331,0.00098515,0.00098515,0.00098515
5,162.467,1.01161,1.34881,1.16655,0.73222,0.59807,0.6996,0.4666,1.18768,1.58878,1.12035,0.0009802,0.0009802,0.0009802
6,192.122,0.98638,1.28017,1.15339,0.72812,0.67639,0.76084,0.41263,1.65249,1.40371,1.34285,0.00097525,0.00097525,0.00097525
7,221.555,0.97468,1.24497,1.14852,0.80504,0.71466,0.81618,0.52992,1.28464,1.11741,1.10962,0.0009703,0.0009703,0.0009703
8,251.097,0.95932,1.20292,1.14138,0.80479,0.75057,0.81296,0.57276,1.09912,1.04945,1.06239,0.00096535,0.00096535,0.00096535
9,280.679,0.94579,1.15269,1.13146,0.74146,0.68971,0.77138,0.57492,0.93876,1.24103,1.04222,0.0009604,0.0009604,0.0009604
10,310.212,0.93672,1.13046,1.12974,0.75877,0.71308,0.80216,0.49194,1.38804,1.11736,1.15211,0.00095545,0.00095545,0.00095545
11,339.474,0.92339,1.10592,1.12566,0.84913,0.79439,0.86555,0.64335,0.96685,0.87311,0.99605,0.0009505,0.0009505,0.0009505
12,369.032,0.92159,1.09236,1.12325,0.80691,0.76193,0.845,0.58011,1.16377,0.9951,1.0643,0.00094555,0.00094555,0.00094555
13,398.511,0.9147,1.07445,1.12037,0.8305,0.77422,0.84454,0.6147,1.00295,0.94859,1.01083,0.0009406,0.0009406,0.0009406
14,428.052,0.90506,1.05505,1.11572,0.83842,0.78013,0.86302,0.618,1.04384,0.90184,1.03742,0.00093565,0.00093565,0.00093565
